label,datetime,ax,ay,az,gx,gy,gz
OTHER,2018/03/05 16:22:32:4190,-1.14,2.84,9.62,,,
OTHER,2018/03/05 16:22:32:4310,-1.0,2.98,9.769999499999999,0.0,6.9089884e+28,6.9089903e+28
OTHER,2018/03/05 16:22:32:4420,-1.0,2.98,9.769999499999999,0.0,6.9089884e+28,6.9089903e+28
OTHER,2018/03/05 16:22:32:4490,-1.0,2.98,9.769999499999999,0.0,6.9089884e+28,6.9089903e+28
OTHER,2018/03/05 16:22:32:4710,-1.06,2.85,9.32,0.01,0.01,0.01
OTHER,2018/03/05 16:22:32:4800,-1.06,2.85,9.32,0.01,0.01,0.01
OTHER,2018/03/05 16:22:32:4910,-0.96999997,2.74,9.32,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:4990,-0.96999997,2.74,9.32,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:5100,-0.96999997,2.74,9.32,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:5210,-1.11,2.71,9.5,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:5300,-1.11,2.71,9.5,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:5410,-1.11,2.71,9.5,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:5490,-1.0799999,2.62,9.69,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:5610,-1.0799999,2.62,9.69,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:5700,-1.0799999,2.62,9.69,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:5810,-1.06,2.6299999,9.7,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:5900,-1.06,2.6299999,9.7,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:5990,-1.1,2.69,9.559999000000001,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:6110,-1.1,2.69,9.559999000000001,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:6210,-1.1,2.69,9.559999000000001,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:6300,-1.1,2.6399999,9.46,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:6440,-1.1,2.6399999,9.46,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:6490,-1.1,2.6399999,9.46,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:6600,-1.02,2.6499999,9.37,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:6700,-1.02,2.6499999,9.37,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:6800,-1.02,2.6499999,9.37,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:6930,-0.96,2.6599998,9.55,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:6990,-0.96,2.6599998,9.55,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:7100,-0.96,2.6599998,9.55,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:7200,-0.97999996,2.69,9.51,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:7300,-0.97999996,2.69,9.51,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:7400,-0.91999996,2.72,9.67,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:7510,-0.91999996,2.72,9.67,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:7600,-0.91999996,2.72,9.67,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:7690,-0.91999996,2.72,9.67,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:7800,-0.88,2.82,9.49,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:7920,-0.88,2.82,9.49,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:8000,-0.88,2.8,9.48,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:8100,-0.88,2.8,9.48,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:8200,-0.88,2.8,9.48,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:8290,-0.88,2.8,9.48,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:8390,-0.83,2.81,9.63,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:8510,-0.83,2.81,9.63,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:8600,-0.87,2.87,9.58,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:8710,-0.87,2.87,9.58,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:8810,-0.87,2.87,9.58,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:8900,-0.9,2.81,9.849999,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:8990,-0.9,2.81,9.849999,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:9130,-0.9,2.81,9.849999,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:9200,-0.84,2.76,9.91,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:9310,-0.84,2.76,9.91,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:9400,-0.84,2.76,9.91,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:9500,-1.12,2.46,9.92,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:9620,-1.12,2.46,9.92,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:9690,-1.12,2.46,9.92,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:9800,-1.18,2.52,9.8,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:9900,-1.18,2.52,9.8,0.0,0.0,0.0
OTHER,2018/03/05 16:22:32:9990,-1.18,2.52,9.8,0.0,0.0,0.0
OTHER,2018/03/05 16:22:33:0110,-1.0,2.3899999,9.36,0.0,0.0,0.0
OTHER,2018/03/05 16:22:33:0200,-1.0,2.3899999,9.36,0.0,0.0,0.0
OTHER,2018/03/05 16:22:33:0310,-0.96,2.1499999,9.59,0.0,0.0,0.0
OTHER,2018/03/05 16:22:33:0400,-0.96,2.1499999,9.59,0.0,0.0,0.0
OTHER,2018/03/05 16:22:33:0500,-0.96,2.1499999,9.59,0.0,0.0,0.0
OTHER,2018/03/05 16:22:33:0610,-0.85999995,1.7099999,10.5,0.0,0.0,0.0
OTHER,2018/03/05 16:22:33:0700,-0.85999995,1.7099999,10.5,0.0,0.0,0.0
OTHER,2018/03/05 16:22:33:0880,-0.85999995,1.7099999,10.5,0.0,0.0,0.0
