label,datetime,ax,ay,az,gx,gy,gz
OTHER,2018/05/10 17:03:25:0470,-0.38,6.64,6.0899997,,,
OTHER,2018/05/10 17:03:25:0570,-0.38,6.64,6.0899997,-0.08,-0.08,-0.06
OTHER,2018/05/10 17:03:25:0670,-0.38,6.64,6.0899997,-0.08,-0.08,-0.06
OTHER,2018/05/10 17:03:25:0760,1.14,5.79,10.29,-0.08,-0.08,-0.06
OTHER,2018/05/10 17:03:25:0860,1.14,5.79,10.29,0.01,0.01,0.01
OTHER,2018/05/10 17:03:25:0960,1.22,5.5699997,9.0,0.01,0.01,0.01
OTHER,2018/05/10 17:03:25:1060,1.22,5.5699997,9.0,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:1170,1.22,5.5699997,9.0,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:1260,0.88,5.8599997,7.43,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:1370,0.88,5.8599997,7.43,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:1460,0.88,5.8599997,7.43,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:1570,0.88,5.52,8.21,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:1680,0.88,5.52,8.21,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:1760,0.88,5.52,8.21,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:1860,1.1999999,5.64,8.49,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:1960,1.1999999,5.64,8.49,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:2070,1.1999999,5.64,8.49,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:2170,1.28,5.8199997,8.55,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:2260,1.28,5.8199997,8.55,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:2360,1.16,5.8199997,8.34,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:2460,1.16,5.8199997,8.34,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:2570,1.16,5.8199997,8.34,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:2690,0.89,5.72,8.099999,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:2780,0.89,5.72,8.099999,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:2870,0.89,5.72,8.099999,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:2970,1.01,5.93,7.99,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:3070,1.01,5.93,7.99,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:3180,1.01,5.93,7.99,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:3260,1.01,5.93,7.99,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:3360,1.23,6.24,7.7,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:3460,1.23,6.24,7.7,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:3570,1.4599999,6.5,7.5899997,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:3670,1.4599999,6.5,7.5899997,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:3760,1.4599999,6.5,7.5899997,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:3890,1.4599999,6.5,7.5899997,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:3960,1.53,6.56,7.99,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:4070,1.53,6.56,7.99,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:4170,1.41,6.48,7.8199997,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:4260,1.41,6.48,7.8199997,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:4360,1.41,6.48,7.8199997,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:4460,1.39,6.6099997,7.58,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:4560,1.39,6.6099997,7.58,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:4670,1.39,6.6099997,7.58,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:4760,1.76,6.8599997,7.259999799999999,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:4860,1.76,6.8599997,7.259999799999999,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:4960,1.76,6.8599997,7.259999799999999,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:5090,1.6999999,6.75,7.44,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:5170,1.6999999,6.75,7.44,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:5260,1.6999999,6.75,7.44,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:5370,1.4699999,6.56,7.4199996,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:5460,1.4699999,6.56,7.4199996,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:5570,1.4699999,6.56,7.4199996,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:5670,1.9499999,6.52,7.33,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:5760,1.9499999,6.52,7.33,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:5870,1.9499999,6.52,7.33,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:5960,4.0099998,7.9199996,7.1299996,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:6070,4.0099998,7.9199996,7.1299996,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:6170,1.7099999,6.62,7.49,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:6260,1.7099999,6.62,7.49,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:6380,1.7099999,6.62,7.49,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:6460,1.7099999,6.62,7.49,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:6570,1.28,6.3399997,6.68,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:6670,1.28,6.3399997,6.68,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:6760,0.68,6.3599997,6.56,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:6870,0.68,6.3599997,6.56,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:6960,0.68,6.3599997,6.56,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:7060,0.88,5.97,7.17,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:7170,0.88,5.97,7.17,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:7270,0.88,5.97,7.17,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:7370,0.97999996,6.37,7.6699996,0.0,0.0,0.0
OTHER,2018/05/10 17:03:25:7460,0.97999996,6.37,7.6699996,-0.42,0.19,0.17999999
OTHER,2018/05/10 17:03:25:7560,0.97999996,6.37,7.6699996,-0.42,0.19,0.17999999
OTHER,2018/05/10 17:03:25:7670,0.84,6.14,7.62,-0.42,0.19,0.17999999
OTHER,2018/05/10 17:03:25:7760,0.84,6.14,7.62,-0.53,0.29,0.17
OTHER,2018/05/10 17:03:25:7860,0.84,6.14,7.62,-0.53,0.29,0.17
OTHER,2018/05/10 17:03:25:7960,0.02,5.39,7.5499997,-0.53,0.29,0.17
OTHER,2018/05/10 17:03:25:8060,0.02,5.39,7.5499997,-0.28,0.16,0.24
OTHER,2018/05/10 17:03:25:8160,0.02,5.39,7.5499997,-0.28,0.16,0.24
OTHER,2018/05/10 17:03:25:8260,-0.28,5.21,7.6,-0.28,0.16,0.24
OTHER,2018/05/10 17:03:25:8360,-0.28,5.21,7.6,-0.34,0.41,0.59999996
OTHER,2018/05/10 17:03:25:8470,-0.28,5.21,7.6,-0.34,0.41,0.59999996
OTHER,2018/05/10 17:03:25:8570,-0.29,4.54,8.03,-0.34,0.41,0.59999996
OTHER,2018/05/10 17:03:25:8660,-0.29,4.54,8.03,-0.42,0.55,0.89
OTHER,2018/05/10 17:03:25:8760,-0.29,4.54,8.03,-0.42,0.55,0.89
OTHER,2018/05/10 17:03:25:8860,-0.51,4.04,9.09,-0.42,0.55,0.89
OTHER,2018/05/10 17:03:25:8960,-0.51,4.04,9.09,-0.57,0.74,1.1899998999999999
OTHER,2018/05/10 17:03:25:9070,-0.51,4.04,9.09,-0.57,0.74,1.1899998999999999
OTHER,2018/05/10 17:03:25:9170,0.42,4.3399997,8.24,-0.57,0.74,1.1899998999999999
OTHER,2018/05/10 17:03:25:9260,0.42,4.3399997,8.24,-0.17999999,0.71,1.6999999
OTHER,2018/05/10 17:03:25:9360,0.42,4.3399997,8.24,-0.17999999,0.71,1.6999999
OTHER,2018/05/10 17:03:25:9460,0.96,4.56,8.179999,0.01,0.66999996,1.92
OTHER,2018/05/10 17:03:25:9570,0.96,4.56,8.179999,0.01,0.66999996,1.92
OTHER,2018/05/10 17:03:25:9670,1.78,5.1,8.48,0.01,0.66999996,1.92
OTHER,2018/05/10 17:03:25:9760,1.78,5.1,8.48,0.21,0.22999999,2.08
OTHER,2018/05/10 17:03:25:9860,1.78,5.1,8.48,0.21,0.22999999,2.08
OTHER,2018/05/10 17:03:25:9960,2.23,5.17,8.519999499999999,0.21,0.22999999,2.08
OTHER,2018/05/10 17:03:26:0060,2.23,5.17,8.519999499999999,0.37,0.21,2.08
OTHER,2018/05/10 17:03:26:0170,2.23,5.17,8.519999499999999,0.37,0.21,2.08
OTHER,2018/05/10 17:03:26:0280,2.5,5.13,7.68,0.37,0.21,2.08
OTHER,2018/05/10 17:03:26:0370,2.5,5.13,7.68,0.45999998,0.48,2.06
OTHER,2018/05/10 17:03:26:0460,2.5,5.13,7.68,0.45999998,0.48,2.06
OTHER,2018/05/10 17:03:26:0560,3.3899998999999994,5.35,7.83,0.45999998,0.48,2.06
OTHER,2018/05/10 17:03:26:0660,3.3899998999999994,5.35,7.83,0.25,0.59,2.09
