label,datetime,ax,ay,az,gx,gy,gz
OTHER,2018/04/02 17:14:05:2140,-0.45999998,3.11,8.7,,,
OTHER,2018/04/02 17:14:05:2390,-0.39,2.6799998,10.91,-0.53,-0.14,0.13
OTHER,2018/04/02 17:14:05:2450,-0.39,2.6799998,10.91,-0.53,-0.14,0.13
OTHER,2018/04/02 17:14:05:2560,-0.42999998,2.54,10.09,-0.53,-0.14,0.13
OTHER,2018/04/02 17:14:05:2650,-0.42999998,2.54,10.09,0.01,0.01,0.01
OTHER,2018/04/02 17:14:05:2750,-0.42999998,2.54,10.09,0.01,0.01,0.01
OTHER,2018/04/02 17:14:05:2890,-0.42999998,2.54,10.09,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:2960,-0.14,2.77,9.26,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:3070,-0.14,2.77,9.26,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:3160,-0.22999999,2.81,9.429999,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:3260,-0.22999999,2.81,9.429999,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:3360,-0.22999999,2.81,9.429999,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:3470,-0.47,2.77,9.62,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:3590,-0.47,2.77,9.62,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:3670,-0.47,2.77,9.62,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:3770,-0.42999998,2.69,9.929999,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:3880,-0.42999998,2.69,9.929999,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:3960,-0.42999998,2.69,9.929999,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:4060,-0.22,2.73,9.36,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:4220,-0.22,2.73,9.36,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:4280,-0.22,2.73,9.36,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:4410,-0.16,2.83,9.07,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:4490,-0.16,2.83,9.07,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:4580,-0.16,2.83,9.07,0.0,0.0,0.0
OTHER,2018/04/02 17:14:05:4660,-0.17999999,2.6699998,9.7,0.0,0.0,0.0
