label,datetime,ax,ay,az,gx,gy,gz
OTHER,2018/05/30 15:19:33:0994,-0.053024292,2.7955017000000004,9.325836,,,
OTHER,2018/05/30 15:19:34:0037,0.025436401,2.5993805,9.325836,,,
OTHER,2018/05/30 15:19:34:0042,0.025436401,2.7562866,9.325836,,,
OTHER,2018/05/30 15:19:34:0048,-0.11186218,2.8739624,9.384674,,,
OTHER,2018/05/30 15:19:34:0069,-0.11186218,2.9720306,9.325836,,,
OTHER,2018/05/30 15:19:34:0088,-0.03340149,2.9328003,9.16893,,,
OTHER,2018/05/30 15:19:34:0109,0.12350464,2.9328003,9.227768,,,
OTHER,2018/05/30 15:19:34:0129,0.06466675,2.89357,9.443512,,,
OTHER,2018/05/30 15:19:34:0150,0.045043945,2.9131927,9.50235,0.019851685,0.04298401,0.05494690000000001
OTHER,2018/05/30 15:19:34:0164,0.0058288574,2.8543548999999997,9.482742,0.0012207030999999999,0.04298401,0.047912598
OTHER,2018/05/30 15:19:34:0169,-0.013793945,2.89357,9.463119500000001,-0.040908812999999995,0.025268555,0.0152282715
OTHER,2018/05/30 15:19:34:0174,0.0058288574,2.9720306,9.443512,-0.054351807,0.0048065186,-0.0027770996
OTHER,2018/05/30 15:19:34:0185,0.045043945,3.011261,9.443512,-0.056793212999999995,-0.027862549,-0.02720642
OTHER,2018/05/30 15:19:34:0192,0.025436401,2.9916382,9.482742,-0.06718445,-0.07002258,-0.033920288
OTHER,2018/05/30 15:19:34:0206,0.06466675,2.9916382,9.54158,-0.08764648400000001,-0.094451904,-0.044616699999999995
OTHER,2018/05/30 15:19:34:0213,0.14311218,2.9328003,9.345444,-0.09590149,-0.08834839,-0.05041504
OTHER,2018/05/30 15:19:34:0227,0.16273499,2.9131927,9.286605999999999,-0.07298279,-0.06788635,-0.053771973
OTHER,2018/05/30 15:19:34:0234,0.24118042,2.9131927,9.286605999999999,-0.062301635999999994,-0.05078125,-0.040039063
OTHER,2018/05/30 15:19:34:0246,0.31964109999999996,2.8151245,9.306213,-0.03541565,-0.04864502,-0.01651001
OTHER,2018/05/30 15:19:34:0253,0.3588562,2.834732,9.365067,-0.0051879883,-0.033065796,0.011566162
OTHER,2018/05/30 15:19:34:0263,0.24118042,2.89357,9.423903999999999,0.011291503999999999,-0.0034332275,0.029281616
OTHER,2018/05/30 15:19:34:0273,0.14311218,2.9524077999999996,9.404282,-0.006713866999999999,0.015182495,0.038757323999999996
OTHER,2018/05/30 15:19:34:0284,0.08427429,2.9916382,9.443512,-0.07971191400000001,-7.6293945e-05,0.014923096
OTHER,2018/05/30 15:19:34:0293,0.045043945,3.0308685,9.561188000000001,-0.16798401,-0.035202026000000004,-0.019882201999999998
OTHER,2018/05/30 15:19:34:0303,0.06466675,2.9720306,9.698486,-0.27090454,-0.107284546,-0.043395996
OTHER,2018/05/30 15:19:34:0314,0.10388183599999999,2.834732,9.698486,-0.31184387,-0.13049316,-0.056228638
OTHER,2018/05/30 15:19:34:0324,0.20195007,2.6385956000000004,9.639648,-0.3509369,-0.11399841,-0.06813049
